[2022-06-04T00:44:05.236] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:44:05.289] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:44:05.289] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:47:11.108] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:47:11.365] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:47:11.544] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:47:11.549] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:49:46.129] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:49:46.392] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:49:46.445] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:49:46.495] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:51:19.179] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:51:19.965] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:51:24.108] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:51:24.195] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:53:01.320] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:53:01.571] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:53:01.625] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:53:01.694] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:53:17.367] [INFO] custom - Path: /, Method: GET
[2022-06-04T00:53:17.574] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:17.575] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:18.934] [INFO] custom - Path: /login, Method: GET
[2022-06-04T00:53:19.037] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:19.037] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:21.751] [INFO] custom - Path: /login, Method: POST
[2022-06-04T00:53:22.081] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:53:22.229] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:53:22.229] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:53:22.275] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:53:22.529] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:22.530] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:22.538] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:53:28.048] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:53:28.191] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:53:28.192] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:53:28.222] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:53:28.226] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:53:28.525] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:28.526] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:54:17.072] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:56:44.417] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:56:44.669] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:57:01.838] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:57:02.091] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:58:00.655] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:58:00.911] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:58:55.565] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:58:55.815] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:59:00.590] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:59:00.846] [INFO] custom - Path: /mensajes, Method: GET
